Period_Key,Date,Department,Total_Tasks,Completed,In_Progress,Pending,Blocked,Cancelled,Not_Started,Completion_Rate,Pending_Rate,Slow_Tasks,Repeated_Tasks,Employees_Reporting,Prev_Completion_Rate,Completion_Rate_PP_Change,Updated_At
2026-08-24|ALL,2026-08-24,ALL,11,8,3,0,0,0,0,72.7,0,4,7,9,,,2026-08-29
2026-08-24|Marketing,2026-08-24,Marketing,3,1,2,0,0,0,0,33.3,0,1,1,3,,,2026-08-29
2026-08-24|Operations,2026-08-24,Operations,5,5,0,0,0,0,0,100,0,2,5,4,,,2026-08-29
2026-08-24|Sales,2026-08-24,Sales,3,2,1,0,0,0,0,66.7,0,1,1,2,,,2026-08-29
2026-08-25|ALL,2026-08-25,ALL,11,9,1,0,1,0,0,81.8,0,0,8,10,72.7,9.1,2026-08-29
2026-08-25|Marketing,2026-08-25,Marketing,3,3,0,0,0,0,0,100,0,0,2,3,33.3,66.7,2026-08-29
2026-08-25|Operations,2026-08-25,Operations,5,4,0,0,1,0,0,80,0,0,5,4,100,-20,2026-08-29
2026-08-25|Sales,2026-08-25,Sales,3,2,1,0,0,0,0,66.7,0,0,1,3,66.7,0,2026-08-29
2026-08-26|ALL,2026-08-26,ALL,11,7,3,1,0,0,0,63.6,9.1,1,7,10,81.8,-18.2,2026-08-29
2026-08-26|Marketing,2026-08-26,Marketing,3,2,1,0,0,0,0,66.7,0,0,2,3,100,-33.3,2026-08-29
2026-08-26|Operations,2026-08-26,Operations,5,3,1,1,0,0,0,60,20,0,4,4,80,-20,2026-08-29
2026-08-26|Sales,2026-08-26,Sales,3,2,1,0,0,0,0,66.7,0,1,1,3,66.7,0,2026-08-29
2026-08-27|ALL,2026-08-27,ALL,11,7,1,1,0,0,2,63.6,9.1,0,7,8,63.6,0,2026-08-29
2026-08-27|Marketing,2026-08-27,Marketing,3,1,1,0,0,0,1,33.3,0,0,1,2,66.7,-33.4,2026-08-29
2026-08-27|Operations,2026-08-27,Operations,5,4,0,0,0,0,1,80,0,0,4,3,60,20,2026-08-29
2026-08-27|Sales,2026-08-27,Sales,3,2,0,1,0,0,0,66.7,33.3,0,2,3,66.7,0,2026-08-29
2026-08-28|ALL,2026-08-28,ALL,13,6,5,0,1,1,0,46.2,0,0,10,8,63.6,-17.4,2026-08-29
2026-08-28|Marketing,2026-08-28,Marketing,3,0,2,0,0,1,0,0,0,0,1,2,33.3,-33.3,2026-08-29
2026-08-28|Operations,2026-08-28,Operations,4,3,1,0,0,0,0,75,0,0,4,3,80,-5,2026-08-29
2026-08-28|Sales,2026-08-28,Sales,6,3,2,0,1,0,0,50,0,0,5,3,66.7,-16.7,2026-08-29
